"","Year 0","Year 1","Year 2","Year 3","Year 4","Year 5","Year 6","Year 7","Year 8","Year 9","Year 10","Year 11","Year 12","Year 13","Year 14","Year 15","Year 16","Year 17","Year 18","Year 19","Year 20"
"Sample 21",960000,1021553.97721094,1011762.31974934,1020184.31731798,1055229.86719054,1046762.56532623,1076445.65064383,1105840.5768242,1118571.04244725,1131750.50415076,1129322.50495607,1120361.76329434,1142150.35524119,1151606.16762159,1214659.85724448,1265086.70142923,1303304.04513074,1305676.70639418,1290938.18731704,1315923.19173479,1374590.57835766
"Sample 22",960000,977502.988080168,970244.085497806,985047.933887891,985278.551985889,957774.626236221,968333.187766576,989748.14774875,995799.912584235,980352.348737605,955684.990222212,938261.517036108,937826.389570075,936485.7295818,918288.725985795,898223.76859105,854988.162363011,833467.959935849,833815.75034083,810916.189447022,793629.29991702
"Sample 23",960000,1139122.94760841,1091878.77117,1063548.66171332,1052972.33924785,1021300.01155871,1028252.57423411,1019579.71230549,1024860.84001496,1012774.99980877,965300.838589773,971897.871748025,938839.706488043,936623.874950508,930094.986925487,920125.310478106,892188.803389154,901989.10661761,890635.195625178,852487.783359848,832600.087438431
"Sample 24",960000,1164240.81003378,1107237.32544672,1124977.00623577,1133344.94304017,1108072.25213422,1103611.77409442,1081157.09814911,1044852.4834571,1055677.94148407,1028776.66288026,1010355.12135116,989353.388712112,1013827.77254816,1040851.53602412,1020968.38016052,1007003.11741857,986200.68445946,1007700.21102029,998882.324413954,955522.831322222
"Sample 25",960000,1121231.33131505,1186557.38574256,1267456.29896858,1368049.10484263,1490995.65102631,1563496.89877845,1670246.96559447,1826383.81752335,1904003.35862451,2048791.69875731,2166096.40075266,2382923.36763676,2590150.81238065,2710282.26959819,2938441.52729272,3143398.8077941,3390188.4989294,3685485.6195784,3922864.77554615,4203679.18286955
"Sample 26",960000,1041815.08565779,1105153.8089964,1149837.77011374,1200229.92127534,1255660.74209372,1311250.53490438,1400539.84726896,1468029.68067208,1528020.6694001,1583980.95800189,1649490.92890682,1708831.78390126,1822703.67729987,1906516.88254025,1972988.44756934,2104842.83329268,2200217.2775496,2254311.35897827,2350237.39217091,2503342.99833569
"Sample 27",960000,1248899.71796568,1119404.79576878,1113184.42997317,1141971.30114547,1175205.9937583,1151600.09496764,1125241.1814904,1113759.93258701,1083235.8386588,1052120.66330249,1052453.43296725,1010767.2938158,961618.515944681,970811.860749125,971010.276739759,944751.279033672,893293.582103252,890822.09665477,880566.367063923,886223.053357992
"Sample 28",960000,1234583.50110947,1348065.17952665,1373405.5936356,1460555.58464071,1536987.47567537,1673827.34685312,1766566.78153219,1895063.10907473,2101146.77310246,2130638.51467512,2372585.53227601,2486497.25967214,2753509.6045984,2998014.09581719,3157819.42865929,3258634.43606592,3488360.55901223,3842803.92697162,4165857.2994516,4521289.73566198
"Sample 29",960000,1082570.44143873,1173836.83195979,1282043.73441216,1392015.66263879,1471244.52829692,1584699.36673844,1712511.4706411,1837317.05197982,1956347.50809369,2163601.28618258,2272370.38702093,2520863.10087769,2798440.49534936,3027376.22037336,3363993.19525407,3516423.30621037,3692213.86680718,3980868.57386379,4179816.95205945,4556697.71822228
"Sample 30",960000,1101340.5099914,1093701.23347401,1096858.31608071,1103643.91993349,1128388.1303646,1129414.18315368,1138126.50170293,1178059.02879939,1138083.7394325,1139254.26858598,1112461.92385443,1116898.06127513,1111987.28161502,1106284.16351969,1130932.59091228,1107341.35392533,1125942.18216027,1163933.69986979,1164824.3528233,1186700.91775746
"Sample 31",960000,1214498.66676194,1139569.10702932,1176457.22041384,1160057.7969029,1134152.161942,1132215.78640399,1096222.77336654,1107548.409764,1083566.81936636,1098181.6766842,1061805.01598877,1064708.43211702,1090184.59060761,1096856.4867244,1069839.01241828,1070647.30116798,1076722.29566605,1057766.95949429,1044752.06347501,1029225.85252138
"Sample 32",960000,1170598.89807675,1177503.52765655,1202437.67024206,1185467.00559358,1188506.65191778,1201309.72431802,1222023.44376072,1242371.2908045,1286461.46239306,1281021.88209593,1261811.78756031,1301346.41575276,1298625.73926497,1324087.4345234,1355098.92389621,1348284.1676137,1302567.74700903,1320308.47888693,1342925.10116914,1336116.01322119
"Sample 33",960000,1034071.8226633,1065048.08305146,1112933.54674985,1148329.03879307,1141460.52927786,1194610.06521729,1222237.28740519,1221481.44488094,1243445.70082738,1260671.00164478,1294574.81924669,1278121.93030714,1287622.96476821,1312923.54485595,1334265.05522939,1367117.9401397,1385238.77187936,1391282.10386588,1444452.28914077,1512801.3493173
