Sim No.,lambda,JWS,AWS,NSS,JSS,ASS,PFS,JFS,AFS,JP,AP,JB,AB
58,0.99,0.75108501561467,0.984455163234904,0.544030407713075,0.964106307592519,0.998511102178818,0.665254855006891,0.819859044104895,0.8946643438211,0.982218137233814,0.98676967164687,0.338759408279575,0.549807723081944
59,1.001,0.867811511966308,0.970060131134766,0.818951265366788,0.777301243892595,0.990780636374477,0.694873342940621,0.685636741257087,0.893113136140992,0.568066081816409,0.756265781221446,0.848306943495291,0.978855848652255
60,0.993,0.966992804863149,0.967230269408875,0.913886869711422,0.788995243917329,0.87201492831496,0.678824151812677,0.694029356423892,0.915530816545077,0.429184659455696,0.944589419041679,0.898275390117926,0.968636623457943
61,0.999,0.812812491713424,0.886891242225968,0.858731932573176,0.949425467892408,0.981121918374381,0.677938304995288,0.661725572805767,0.958813281023235,0.708834218983838,0.932870535522549,0.825103517281955,0.924995070074763
62,1.006,0.898923445945851,0.940225458423316,0.754125799735817,0.94102605678599,0.969961421451364,0.709060202601474,0.82070175617591,0.909372397582706,0.772777826447831,0.781815029330377,0.73845692765538,0.970390898285089
63,0.999,0.840183422399927,0.942120161757747,0.68765983906941,0.627363204117283,0.992293930021528,0.581347996582364,0.772934310017581,0.944117359454468,0.898626916255784,0.963274629231455,0.939940597940293,0.980686289113688
64,1.004,0.963477293620496,0.998424205504336,0.507359013705674,0.797488640311829,0.998210434070744,0.667473346959254,0.628019424046502,0.963560400551927,0.504902276946942,0.806935687005806,0.881122217690112,0.894291979149798
65,0.996,0.649832629325331,0.969071410396844,0.899762194319958,0.653490485326442,0.92467382252388,0.643429677835579,0.838281470255497,0.984197340098168,0.875707954801324,0.986656945086099,0.474159603375281,0.983485506433892
66,1.009,0.882592372812081,0.988691960746105,0.924515634616552,0.621468745812769,0.914618438365118,0.593165612159459,0.888785121886404,0.961427823401926,0.775060864088437,0.922487162760221,0.842808022629429,0.883352488320373
67,1.007,0.793689482960217,0.95316521373559,0.831127315522223,0.967145824292035,0.981245971195592,0.469677503352147,0.896077043399514,0.903148558493392,0.936140811598619,0.966478431714288,0.831463196605188,0.975438597056549
68,1.004,0.78742680342804,0.933679340808672,0.921114906684045,0.92563745958711,0.990652917055844,0.329551860176329,0.883808693051759,0.991248405373477,0.753411133761086,0.919487153704222,0.548043746516615,0.9393924936213
69,0.999,0.909185532414191,0.958259546555441,0.99239301351268,0.841553105710893,0.891812861545608,0.78874509406616,0.655942607097174,0.871062074701731,0.53327956286539,0.979458878260215,0.931659572700293,0.934663935430234
70,0.999,0.759907999812116,0.996834445025008,0.906397246700101,0.795096324908915,0.974515821981445,0.485992088450037,0.422112515488414,0.952789174834096,0.854094599590848,0.951359399943648,0.809638366070432,0.93502066280112
71,0.997,0.939011560104864,0.952800707706393,0.997416989991772,0.838579886980454,0.882667211483451,0.810810401702622,0.785457560769135,0.899561054512682,0.870175567099983,0.89920588618228,0.813192897091627,0.840327427697058
72,0.998,0.674514060221537,0.980100249176175,0.723861441244431,0.928642657284121,0.9685871987704,0.75402809345765,0.809491507044316,0.935559086613626,0.458656298335989,0.906073577940093,0.506845860063712,0.739909150671641
73,0.99,0.983663736000666,0.993921032764411,0.983230407419684,0.832478587181439,0.875745041936504,0.619710479243466,0.702161312481016,0.96839053401702,0.65668736433387,0.869954388194221,0.508836392889582,0.705834208493815
74,1.009,0.850283893054923,0.918496578671658,0.950944129721804,0.906158728909104,0.996863476240786,0.482428500882803,0.765657487402782,0.947554294141846,0.809861789749615,0.892690165805102,0.874208088808789,0.992990031151197
75,1.006,0.887108662302758,0.897603211961315,0.970732444640332,0.499208843331897,0.988290449742043,0.689029411161894,0.546084906074672,0.98785584481281,0.533871182245322,0.956058317693233,0.779662609662888,0.789313518971058
76,1.008,0.975926793263801,0.986062088076094,0.756856209258715,0.79937462458866,0.970962927203505,0.561505433737744,0.471308680833071,0.972857200872181,0.483387644499673,0.834432087174477,0.24058036566785,0.842946573279665
77,1,0.985241869240997,0.99469768079174,0.249416651473862,0.891383300859476,0.978747382838317,0.584786593395237,0.53575149579887,0.977837097768768,0.72910788365557,0.903127247210606,0.857941953531216,0.929054658894228
78,0.998,0.867766310062684,0.952539429054803,0.963941231581887,0.675312430306359,0.942569504435944,0.569348423372597,0.933950346045337,0.971045013368385,0.667880529376332,0.768809971915559,0.801001776394295,0.829026067363413
79,0.997,0.776914834377278,0.946181331446207,0.840965411523206,0.9411386455921,0.964847566391361,0.49150509420085,0.733294249754624,0.955925600406251,0.899033237880832,0.98600767445104,0.757392030544618,0.901555936134524
80,1.006,0.938731882301018,0.998170324020937,0.947608042534506,0.823547821805159,0.999006171589399,0.675335315466143,0.56220984653854,0.806054305490852,0.812877379839314,0.940337402671198,0.781442189969808,0.990143241997957
81,0.999,0.662367481866405,0.989693642329065,0.99904871723437,0.803036601870051,0.994243391847282,0.533456387849957,0.763372085056578,0.917424901436479,0.810010427061368,0.887842017018295,0.620101583478021,0.756422585957834
82,0.998,0.977274434185229,0.997178506690361,0.953126552243902,0.390068968310001,0.895924093488285,0.706731815591074,0.917474561291684,0.971419582502338,0.885838879469448,0.900089987751522,0.826618104028306,0.92739129721538
83,1.005,0.910489550183297,0.997703835548796,0.921616632848983,0.807618533097626,0.920241409310551,0.495332493382862,0.514716378696287,0.9612145016765,0.64448668782821,0.899201384063301,0.808450852040507,0.971365283488469
84,0.994,0.978795294234059,0.995429123083216,0.993352597513592,0.707983674116596,0.903904009654647,0.551553518782643,0.36926928374941,0.974949482903144,0.617034426652537,0.641098114147896,0.76855359341918,0.822334797875122
85,0.995,0.89399601171744,0.945885720995242,0.769923936847172,0.929899050750727,0.951127323522423,0.419798709282841,0.634975586388587,0.98695517603896,0.936146671649163,0.999630780817823,0.888935083102272,0.894303080865892
