,Years 1,Years 2,Years 3,Years 4,Years 5,Years 6,Years 7,Years 8,Years 9,Years 10,Years 11,Years 12,Years 13,Years 14,Years 15,Years 16,Years 17,Years 18,Years 19,Years 20,Years 21,Years 22,Years 23,Years 24,Years 25,Years 26,Years 27,Years 28,Years 29,Years 30,Years 31
Sample No. 608,1,1,1,1,1,0.793293651427608,0.727455065342598,0.757057743392885,0.779149513297249,0.728233779421076,0.769411256212275,0.775432914811186,0.883752241916955,0.902936408324167,0.837852658495307,0.892203256422654,0.864213295102119,0.951686667539179,0.929519103113562,0.943146611787379,0.926138760522008,0.961810713429004,0.945464948602021,0.963450616616756,0.968898145742714,1,1,1,1,1,1
Sample No. 609,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0.738416737994645,0.733050485340878,0.781020808733534,0.689863172058482,0.701773107262794,0.697937207332812
Sample No. 610,1,1,1,1,1,1,1,1,1,1,0.81108871150203,0.786809617538471,0.763984292525798,0.778523465666454,0.68891053726105,0.705155822903849,0.747257791030221,0.887646153349429,0.906743087292649,0.865069424829446,0.855483197692782,0.855567043728195,0.922715106196702,0.930704074464738,0.967042825911194,0.940502133853734,0.970504072606564,0.98862168058753,0.968809812609106,0.9248708775267,1
Sample No. 611,1,1,1,1,1,1,1,1,1,0.769711515576579,0.816421052651946,0.801170457761269,0.745492758638226,0.832117950603366,0.781408293884247,0.767595695298165,0.879986825783737,0.884220751015469,0.906321166337468,0.864958607743494,0.840602622481994,0.921215956620872,0.98960598744452,0.936094376388937,0.952123690806329,0.964033061880618,0.9254469807446,0.959524587281048,0.959243773519993,1,1
Sample No. 612,1,1,1,1,1,1,1,1,0.827181021509692,0.733754853160586,0.794926003007218,0.793738602242898,0.707801974542905,0.727039731737692,0.736583821581677,0.906653679260984,0.918293681688607,0.850522767787799,0.9013238267079,0.915913698372431,0.923364289104939,0.929216871745884,0.925942449048162,0.961347612049431,0.972140116617084,0.989954392481595,0.972495487518609,0.976021556761116,1,1,1
Sample No. 613,1,1,1,1,1,1,1,0.705808219012339,0.814216225712094,0.741149589036591,0.782599697321653,0.712622211409267,0.765428969486617,0.760750129249878,0.86029399157688,0.910975271667354,0.881056244322099,0.859423638204113,0.859189075404778,0.978678099773824,0.987059712447226,0.926509352829307,0.927727638036013,0.979422229100019,0.991047986093909,0.969992692805827,0.930188461281359,1,1,1,1
Sample No. 614,1,1,1,1,1,1,1,1,1,1,0.816017243220936,0.792436356133781,0.744469950128347,0.736486094946973,0.825548307482619,0.751088517754339,0.746318186914083,0.863017617500387,0.90937665306963,0.910239430269226,0.851102123172022,0.879497286288999,0.924169436469674,0.986465488318354,0.936481124218553,0.971898789666593,0.949283829610795,0.993433967810124,0.980626525487751,0.956503274198622,1
Sample No. 615,1,0.833191335866228,0.743188652560581,0.687538755267393,0.767703008140903,0.6962370716515,0.785554760335013,0.728749011761043,0.911133418527432,0.839069908615202,0.918083919789642,0.895298604656011,0.894473108622245,0.922839921154082,0.927987990621477,0.999605539310723,0.93861846614629,0.967069412022829,0.933723050896078,0.95679023321718,0.936856264546514,1,1,1,1,1,1,1,1,1,1
Sample No. 616,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0.701672191174235,0.778765340430196,0.716624928395264,0.760011193343904,0.810898627575021,0.700198003069032,0.814016971878242,0.839652400205843,0.881644865768962,0.906127062900923,0.83748758178018,0.89192293179594
Sample No. 617,1,1,1,1,1,1,1,1,1,1,1,1,1,0.746413694404997,0.755968745124061,0.817818745972123,0.794042567386292,0.711633258838207,0.68822681920277,0.697442434275523,0.912204421949573,0.864770934766158,0.892938789883629,0.86718834557943,0.858361553302966,0.924990382604301,0.924767708797008,0.957903708927333,0.970022615622729,0.936011000722647,0.974918003063649
